userID,userName,mediaID,mediaDate,mediaLocationLat,mediaLocationLong,mediaCommentFrom_id,mediaCommentFrom_userName,mediaComment_time,text_length,comment_text
2504191,aaron,1175055008920600848_2504191,2016/1/31,34.0304,-118.779,14913615,tisdamian,2016/1/31,20,
2504191,aaron,1175055008920600848_2504191,2016/1/31,34.0304,-118.779,7291966,apartment_34,2016/3/3,2,
2504191,aaron,1165582321915626191_2504191,2016/1/18,34.0522,-118.243,5159297,theadamdillon,2016/2/6,20,
2504191,aaron,1165582321915626191_2504191,2016/1/18,34.0522,-118.243,2504191,aaron,2016/2/6,46,
2504191,aaron,1165582321915626191_2504191,2016/1/18,34.0522,-118.243,2129398612,flarrow_cast,2016/2/8,26,
2504191,aaron,1165582321915626191_2504191,2016/1/18,34.0522,-118.243,14503448,beautybuzz411,2016/2/10,11,
2504191,aaron,1164154917082988577_2504191,2016/1/16,41.8369,-87.6844,3744574,teamwoodnote,2016/1/17,32,
2504191,aaron,1164154917082988577_2504191,2016/1/16,41.8369,-87.6844,215148843,rachpalumbo,2016/1/17,39,
2504191,aaron,1164154917082988577_2504191,2016/1/16,41.8369,-87.6844,6281121,alexandramadar,2016/1/18,24,
2504191,aaron,1164154917082988577_2504191,2016/1/16,41.8369,-87.6844,7893962,dawa_lhamo,2016/2/18,3,
2504191,aaron,1161980339791430590_2504191,2016/1/13,34.054314,-118.25029,1700833047,classicingray,2016/1/13,14,
2504191,aaron,1161980339791430590_2504191,2016/1/13,34.054314,-118.25029,1088470036,into_theworld,2016/1/14,7,
2504191,aaron,1161980339791430590_2504191,2016/1/13,34.054314,-118.25029,261413317,dmcguire68,2016/1/14,27,
2504191,aaron,1161980339791430590_2504191,2016/1/13,34.054314,-118.25029,8466803,jpmicael,2016/1/18,71,
2504191,aaron,1158364039957545478_2504191,2016/1/8,34.1384,-118.661,690859,musiy,2016/1/8,9,
2504191,aaron,1158364039957545478_2504191,2016/1/8,34.1384,-118.661,181427489,ryanlongnecker,2016/1/8,44,
2504191,aaron,1158364039957545478_2504191,2016/1/8,34.1384,-118.661,52346697,hello.jeremiah,2016/1/8,23,
2504191,aaron,1158364039957545478_2504191,2016/1/8,34.1384,-118.661,2313611829,boonethebear,2016/1/10,6,
2504191,aaron,1157628435925926387_2504191,2016/1/7,34.0522,-118.243,2201694679,donlabella,2016/1/8,30,
2504191,aaron,1157628435925926387_2504191,2016/1/7,34.0522,-118.243,631059529,jennymacdougall,2016/1/8,49,
2504191,aaron,1157628435925926387_2504191,2016/1/7,34.0522,-118.243,14001767,jeanneyangphotography,2016/1/8,36,
2504191,aaron,1157628435925926387_2504191,2016/1/7,34.0522,-118.243,430967475,christina_abigail,2016/1/19,61,
2504191,aaron,1155887221807611923_2504191,2016/1/5,30.280949,-97.73769,2050698874,chinndusty,2016/1/5,34,
2504191,aaron,1155887221807611923_2504191,2016/1/5,30.280949,-97.73769,775409307,onealhome,2016/1/5,84,
2504191,aaron,1155887221807611923_2504191,2016/1/5,30.280949,-97.73769,8301493,typhen,2016/1/10,20,
2504191,aaron,1155887221807611923_2504191,2016/1/5,30.280949,-97.73769,132322,bluebatavia,2016/2/19,4,
2504191,aaron,1154750856860631802_2504191,2016/1/3,34.044785,-118.25202,14912245,iamjeanniek,2016/1/3,8,
